INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../sgm_kernel-tb.cpp in debug mode
   Compiling ../../../sgm_kernel.cpp in debug mode
   Generating csim.exe
Descriptor decimal = 240
Descriptor binary  = 11110000
Frame 000146, D1 = 25.2026 %, MAE = 2.45341 px, Bad1 = 67.2354 %, Bad3 = 22.9283 %
Frame 000147, D1 = 21.2998 %, MAE = 2.50221 px, Bad1 = 58.9293 %, Bad3 = 18.352 %
Frame 000148, D1 = 24.5461 %, MAE = 2.10339 px, Bad1 = 64.3945 %, Bad3 = 20.0682 %
Frame 000149, D1 = 33.9558 %, MAE = 2.82942 px, Bad1 = 74.1216 %, Bad3 = 29.3767 %
Frame 000150, D1 = 44.1917 %, MAE = 4.59307 px, Bad1 = 76.9475 %, Bad3 = 40.7911 %
Frame 000151, D1 = 40.0461 %, MAE = 3.2502 px, Bad1 = 71.8278 %, Bad3 = 36.4545 %
Frame 000152, D1 = 33.6225 %, MAE = 2.93731 px, Bad1 = 68.0576 %, Bad3 = 30.9529 %
Frame 000153, D1 = 40.4892 %, MAE = 4.15272 px, Bad1 = 69.614 %, Bad3 = 38.997 %
Frame 000154, D1 = 35.6537 %, MAE = 5.64251 px, Bad1 = 73.6944 %, Bad3 = 36.609 %
Frame 000155, D1 = 37.112 %, MAE = 3.08002 px, Bad1 = 71.5725 %, Bad3 = 31.1145 %
Frame 000156, D1 = 34.0244 %, MAE = 2.99742 px, Bad1 = 65.0375 %, Bad3 = 30.3748 %
Frame 000157, D1 = 32.8088 %, MAE = 3.14736 px, Bad1 = 68.3389 %, Bad3 = 28.6988 %
Frame 000158, D1 = 27.6728 %, MAE = 2.5935 px, Bad1 = 68.5469 %, Bad3 = 23.819 %
Frame 000159, D1 = 28.8844 %, MAE = 2.62814 px, Bad1 = 66.6769 %, Bad3 = 24.9464 %
Frame 000160, D1 = 30.5374 %, MAE = 2.78142 px, Bad1 = 66.7717 %, Bad3 = 26.5512 %
Frame 000161, D1 = 34.2409 %, MAE = 5.46611 px, Bad1 = 71.2711 %, Bad3 = 36.5016 %
Frame 000162, D1 = 32.7358 %, MAE = 3.91378 px, Bad1 = 75.6927 %, Bad3 = 29.1632 %
Frame 000163, D1 = 34.3515 %, MAE = 4.84651 px, Bad1 = 71.9792 %, Bad3 = 31.8439 %
Frame 000164, D1 = 36.1684 %, MAE = 5.28047 px, Bad1 = 70.7103 %, Bad3 = 34.7266 %
Frame 000165, D1 = 28.2553 %, MAE = 3.27654 px, Bad1 = 68.3939 %, Bad3 = 25.7044 %
